"Taxon","longitude","latitude","uncertainty","year"
"Colchicum autumnale L. subsp. autumnale",10.067034,44.075569,1784.12411615277,1942
"Arbutus unedo L.",10.495083,43.837609,3989.42280401433,1860
"Arbutus unedo L.",10.536313,43.756417,3989.42280401433,1860
"Arbutus unedo L.",10.896806,43.207298,3989.42280401433,1860
"Arbutus unedo L.",11.114232,42.762365,3989.42280401433,1860
"Arbutus unedo L.",11.145667,42.411119,1784.12411615277,1860
"Arbutus unedo L.",11.100882,42.252801,1784.12411615277,1860
"Arbutus unedo L.",9.898993,43.430803,1784.12411615277,1860
"Arbutus unedo L.",9.818082,43.037775,1784.12411615277,1860
"Arbutus unedo L.",10.310407,42.337112,1784.12411615277,1860
"Arbutus unedo L.",10.632769,43.323019,564.189583547756,2017
"Arbutus unedo L.",10.521417,43.917917,1784.12411615277,1860
"Arbutus unedo L.",10.54391,43.850183,1784.12411615277,1860
"Arbutus unedo L.",11.247864,43.803531,1784.12411615277,1860
"Arbutus unedo L.",11.502356,43.868097,1784.12411615277,1860
"Arbutus unedo L.",11.218123,43.705315,1784.12411615277,1860
"Arbutus unedo L.",11.31351,43.604336,1784.12411615277,1860
"Arbutus unedo L.",11.333635,43.318519,1784.12411615277,1860
"Arbutus unedo L.",11.491205,43.058653,1784.12411615277,1860
"Calluna vulgaris (L.) Hull",10.40623,44.2285,1784.12411615277,2014
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.632769,43.323019,564.189583547756,2017
"Prospero autumnale (L.) Speta",11.149001,43.924799,3989.42280401433,2009
"Cervaria rivinii Gaertn.",11.868945,42.9473,1784.12411615277,1998
"Hedera helix L. subsp. helix",10.600192,43.538808,1784.12411615277,2014
"Hedera helix L. subsp. helix",10.797564,43.57275,1784.12411615277,2014
"Hedera helix L. subsp. helix",10.818549,43.508995,1784.12411615277,2014
"Helianthus tuberosus L.",10.631592,43.626298,1784.12411615277,2014
"Helianthus tuberosus L.",10.62078,43.710096,1784.12411615277,2014
"Artemisia verlotiorum Lamotte",11.255868,43.783279,3989.42280401433,1918
"Arbutus unedo L.",10.32829,42.78717,564.189583547756,2005
"Arbutus unedo L.",10.27416,42.79867,564.189583547756,2005
"Arbutus unedo L.",10.33301,42.78511,564.189583547756,2005
"Arbutus unedo L.",10.163184,42.763311,564.189583547756,2005
"Arbutus unedo L.",10.18142,42.77167,564.189583547756,2005
"Arbutus unedo L.",10.28211,42.77621,564.189583547756,2005
"Hedera helix L. subsp. helix",11.36271,43.07674,1784.12411615277,1999
"Hedera helix L. subsp. helix",11.36271,43.07674,1784.12411615277,1999
"Hedera helix L. subsp. helix",10.41636,42.79974,564.189583547756,2005
"Hedera helix L. subsp. helix",10.15252,42.75913,564.189583547756,2005
"Hedera helix L. subsp. helix",10.179908,42.774878,564.189583547756,2005
